ingredients_string,name,url
"8 skinless, boneless chicken breasts 8 slices cooked ham 4 slices Swiss cheese, cut into 1 inch pieces salt and pepper to taste 1 teaspoon dried thyme 1/4 cup melted butter 1/2 cup cornflakes cereal crumbs 1 (10.75 ounce) can condensed cream of chicken soup 1/2 cup sour cream",Cordon Bleu Chicken Rolls,https://www.allrecipes.com/recipe/16602/cordon-bleu-chicken-rolls/
"2 teaspoons olive oil 1 teaspoon butter 2 1/2 tablespoons balsamic vinegar 2 teaspoons Dijon mustard 3 large cloves garlic, chopped 4 (4 ounce) skinless, boneless chicken breast halves, pounded flat 1/3 cup chicken stock 1 large shallot, chopped 2 cups cremini mushrooms, chopped 1/3 cup chicken stock 1/4 teaspoon herbes de Provence, crumbled 1 1/2 teaspoons balsamic vinegar salt and ground black pepper to taste",Poulet De Provencal,https://www.allrecipes.com/recipe/223506/poulet-de-provencal/
"1 clove garlic, halved 2 pounds potatoes, peeled and thinly sliced 2 1/2 cups heavy whipping cream 2 1/4 cups freshly grated Comte cheese",Gratin Dauphinois De Solange,https://www.allrecipes.com/recipe/246439/gratin-dauphinois-de-solange/
"2 tablespoons all-purpose flour 1 1/2 cups unsalted butter, at room temperature 4 cups all-purpose flour, divided 1/2 teaspoon salt 3 tablespoons sugar 2 (.25 ounce) packages active dry yeast 1/4 cup lukewarm water 1 cup milk 1/2 cup heavy cream 1 egg",Traditional Layered French Croissants,https://www.allrecipes.com/recipe/190997/traditional-layered-french-croissants/
1/2 cup semi-sweet chocolate chips 2 cups heavy cream 1/4 cup white sugar 1 pinch salt 2 teaspoons vanilla extract 5 egg yolks,Calis Sinful Creme Brulee,https://www.allrecipes.com/recipe/83905/calis-sinful-creme-brulee/
"1/4 cup all-purpose flour 1 teaspoon salt 1/2 teaspoon ground black pepper 2 pounds cubed stew meat 4 tablespoons butter 1 onion, chopped 2 carrots, chopped 1 clove garlic, minced 2 cups red wine 1 bay leaf 3 tablespoons chopped fresh parsley 1/2 teaspoon dried thyme 1 (6 ounce) can sliced mushrooms",Beef Bourguignon Ii,https://www.allrecipes.com/recipe/16905/beef-bourguignon-ii/
2 cups heavy cream,Chef Johns Creme Fraiche,https://www.allrecipes.com/recipe/222387/chef-johns-creme-fraiche/
"4 onions, chopped 3 tablespoons butter 3 tablespoons all-purpose flour 1 teaspoon ground black pepper 1 teaspoon white sugar 3 (10.5 ounce) cans beef broth 1 1/4 cups water 1/2 teaspoon dried parsley 1/4 teaspoon dried thyme 1 cup white wine 1 French baguette, cut into 1/2 inch slices",French Onion Soup V,https://www.allrecipes.com/recipe/16386/french-onion-soup-v/
"6 bone-in, skin-on chicken thighs 1 pinch kosher salt and freshly ground black pepper to taste 8 ounces bacon, sliced crosswise into 1/2-inch pieces 10 large button mushrooms, quartered 1/2 large yellow onion, diced 2 shallots, sliced 2 teaspoons all-purpose flour 2 teaspoons butter 1 1/2 cups red wine 6 sprigs fresh thyme",Chef Johns Coq Au Vin,https://www.allrecipes.com/recipe/239230/chef-johns-coq-au-vin/
"6 skinless, boneless chicken breast halves 6 slices Swiss cheese 6 slices ham 3 tablespoons all-purpose flour 1 teaspoon paprika 6 tablespoons butter 1/2 cup dry white wine 1 teaspoon chicken bouillon granules 1 tablespoon cornstarch",Chicken Cordon Bleu Ii,https://www.allrecipes.com/recipe/8669/chicken-cordon-bleu-ii/
"4 russet potatoes, sliced into 1/4 inch slices 1 onion, sliced into rings salt and pepper to taste 3 tablespoons butter 3 tablespoons all-purpose flour 1/2 teaspoon salt 2 cups milk",Creamy Au Gratin Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/
1 cup all-purpose flour 2 eggs 1/2 cup milk 1/2 cup water 1/4 teaspoon salt,Basic Crepes,https://www.allrecipes.com/recipe/16383/basic-crepes/
"4 skinless, boneless chicken breast halves 1/4 teaspoon salt 1/8 teaspoon ground black pepper 6 slices Swiss cheese 4 slices cooked ham",Chicken Cordon Bleu I,https://www.allrecipes.com/recipe/8495/chicken-cordon-bleu-i/
1 cup water 2 1/2 cups bread flour 1 tablespoon white sugar 1 teaspoon salt 1 1/2 teaspoons bread machine yeast 1 egg yolk,French Baguettes,https://www.allrecipes.com/recipe/7028/french-baguettes/
"4 tablespoons butter 1 teaspoon salt 2 large red onions, thinly sliced 2 large sweet onions, thinly sliced 1 (48 fluid ounce) can chicken broth 1 (14 ounce) can beef broth 1/2 cup red wine 1 tablespoon Worcestershire sauce 2 sprigs fresh parsley 1 sprig fresh thyme leaves 1 bay leaf 1 tablespoon balsamic vinegar salt and freshly ground black pepper to taste 4 thick slices French or Italian bread 8 slices Gruyere or Swiss cheese slices, room temperature 1/2 cup shredded Asiago or mozzarella cheese, room temperature",French Onion Soup Gratinee,https://www.allrecipes.com/recipe/91192/french-onion-soup-gratinee/
6 cups all-purpose flour 2 1/2 (.25 ounce) packages active dry yeast 1 1/2 teaspoons salt 2 cups warm water (110 degrees F/45 degrees C) 1 tablespoon cornmeal 1 egg white,French Bread,https://www.allrecipes.com/recipe/6882/french-bread/
"1/2 cup unsalted butter 2 tablespoons olive oil 4 cups sliced onions 4 (10.5 ounce) cans beef broth 2 tablespoons dry sherry (optional) 1 teaspoon dried thyme salt and pepper to taste 4 slices French bread 4 slices provolone cheese 2 slices Swiss cheese, diced",Rich And Simple French Onion Soup,https://www.allrecipes.com/recipe/13309/rich-and-simple-french-onion-soup/
"9 ounces bittersweet chocolate, chopped 1 cup heavy cream",Chocolate Ganache,https://www.allrecipes.com/recipe/33647/chocolate-ganache/
2 eggs 1 cup milk 2/3 cup all-purpose flour 1 pinch salt,Crepes,https://www.allrecipes.com/recipe/27188/crepes/
"2 tablespoons olive oil 3 cloves garlic, minced 2 teaspoons dried parsley 1 eggplant, cut into 1/2 inch cubes salt to taste 1 cup grated Parmesan cheese 2 zucchini, sliced 1 large onion, sliced into rings 2 cups sliced fresh mushrooms 1 green bell pepper, sliced",Ratatouille,https://www.allrecipes.com/recipe/18411/ratatouille/
"4 eggs, lightly beaten 1 1/3 cups milk 2 tablespoons butter, melted 1 cup all-purpose flour 2 tablespoons white sugar",Dessert Crepes,https://www.allrecipes.com/recipe/19037/dessert-crepes/
3 egg yolks 1/4 teaspoon Dijon mustard 1 tablespoon lemon juice 1 dash hot pepper sauce (e.g. Tabasco(TM)),Blender Hollandaise Sauce,https://www.allrecipes.com/recipe/84214/blender-hollandaise-sauce/
1 1/2 cups milk 3 egg yolks 2 tablespoons vanilla extract 1 1/2 cups all-purpose flour 2 tablespoons sugar 1/2 teaspoon salt,Vanilla Crepes,https://www.allrecipes.com/recipe/95817/vanilla-crepes/
3 cups all-purpose flour 1 1/2 teaspoons salt 3 tablespoons white sugar 1 cup shortening 1 egg 1 teaspoon distilled white vinegar,French Pastry Pie Crust,https://www.allrecipes.com/recipe/15075/french-pastry-pie-crust/
1 cup all-purpose flour 1 teaspoon white sugar 1/4 teaspoon salt 3 eggs 2 cups milk,French Crepes,https://www.allrecipes.com/recipe/20931/french-crepes/
"1 1/2 pounds cubed beef stew meat 1/4 cup all-purpose flour 2 tablespoons vegetable oil 2 (14.5 ounce) cans Italian-style diced tomatoes 1 (14 ounce) can beef broth 4 carrots, chopped 2 potatoes, peeled and chopped 3/4 teaspoon dried thyme 2 tablespoons Dijon-style prepared mustard",French Beef Stew,https://www.allrecipes.com/recipe/13345/french-beef-stew/
"1 recipe pastry for a 9 inch single crust pie 12 slices bacon 1 cup shredded Swiss cheese 1/3 cup minced onion 4 eggs, beaten 2 cups light cream 3/4 teaspoon salt 1/4 teaspoon white sugar",Quiche Lorraine I,https://www.allrecipes.com/recipe/17515/quiche-lorraine-i/
"6 egg yolks 6 tablespoons white sugar, divided 1/2 teaspoon vanilla extract 2 1/2 cups heavy cream",Creme Brulee,https://www.allrecipes.com/recipe/19165/creme-brulee/
"8 skinless, boneless chicken breasts 8 slices cooked ham 4 slices Swiss cheese, cut into 1 inch pieces salt and pepper to taste 1 teaspoon dried thyme 1/4 cup melted butter 1/2 cup cornflakes cereal crumbs 1 (10.75 ounce) can condensed cream of chicken soup 1/2 cup sour cream",Cordon Bleu Chicken Rolls,https://www.allrecipes.com/recipe/16602/cordon-bleu-chicken-rolls/
2 cups milk 1/4 cup white sugar 2 egg yolks 1 egg 1/4 cup cornstarch 1/3 cup white sugar 2 tablespoons butter,Pastry Cream,https://www.allrecipes.com/recipe/76043/pastry-cream/
"6 skinless, boneless chicken breast halves 1 (10.75 ounce) can condensed cream of chicken soup 1 cup milk 4 ounces sliced ham 4 ounces sliced Swiss cheese 1 (8 ounce) package herbed dry bread stuffing mix",Slow Cooker Chicken Cordon Bleu,https://www.allrecipes.com/recipe/81124/slow-cooker-chicken-cordon-bleu/
"1/4 cup butter 3 onions, thinly sliced 1 teaspoon white sugar 1 tablespoon all-purpose flour 2 1/2 cups water 1/2 cup red wine 2 (10.5 ounce) cans condensed beef broth 1 French baguette",French Onion Soup I,https://www.allrecipes.com/recipe/12926/french-onion-soup-i/
1/2 cup butter 1 cup water 1 cup all-purpose flour 1/4 teaspoon salt 4 eggs 1 (5 ounce) package instant vanilla pudding mix 2 1/2 cups cold milk 1 cup heavy cream 1/4 cup confectioners' sugar 1 teaspoon vanilla extract 2 (1 ounce) squares semisweet chocolate 2 tablespoons butter 1 cup confectioners' sugar 1 teaspoon vanilla extract,Eclairs Ii,https://www.allrecipes.com/recipe/19010/eclairs-ii/
"2 eggs 2 slices ham, chopped (optional) 1/2 cup shredded Cheddar cheese 1 tablespoon chopped onion (optional) 1 tablespoon chopped green bell pepper (optional) 2 tablespoons chopped fresh tomato (optional) 1 tablespoon chunky salsa (optional)",Omelet In A Bag,https://www.allrecipes.com/recipe/85107/omelet-in-a-bag/
4 egg whites,Authentic French Meringues,https://www.allrecipes.com/recipe/58871/authentic-french-meringues/
"1 (8 ounce) wheel Brie cheese 3 tablespoons apricot preserves 1/2 (17.5 ounce) package frozen puff pastry, thawed",Brie Cheese Appetizer,https://www.allrecipes.com/recipe/15015/brie-cheese-appetizer/
"1 (6 ounce) can tomato paste 1/2 onion, chopped 1/4 cup minced garlic 1 tablespoon olive oil 3/4 cup water salt and ground black pepper to taste 1 small eggplant, trimmed and very thinly sliced 1 zucchini, trimmed and very thinly sliced 1 yellow squash, trimmed and very thinly sliced 1 red bell pepper, cored and very thinly sliced 1 yellow bell pepper, cored and very thinly sliced 3 tablespoons olive oil, or to taste 1 teaspoon fresh thyme leaves, or to taste",Disneys Ratatouille,https://www.allrecipes.com/recipe/222006/disneys-ratatouille/
"50 fresh mussels, scrubbed and debearded 2 tablespoons extra virgin olive oil 5 cloves garlic, minced 1 cup white wine 2 tablespoons margarine or butter 3 green onions, chopped 1 bunch fresh parsley, chopped 3 roma (plum) tomatoes, chopped",Pattis Mussels A La Mariniere,https://www.allrecipes.com/recipe/42657/pattis-mussels-a-la-mariniere/
"2 (.25 ounce) packages active dry yeast 1/2 cup warm water (110 degrees F) 2 cups water 6 cups bread flour 1 tablespoon salt 1 tablespoon white sugar 5 tablespoons vegetable oil 2 tablespoons cornmeal 1 egg white, beaten",Fabulous French Loaves,https://www.allrecipes.com/recipe/20160/fabulous-french-loaves/
"1 (18.25 ounce) package chocolate cake mix 1 (14 ounce) can sweetened condensed milk 2 (1 ounce) squares unsweetened chocolate, melted 1/2 cup cold water 1 (3.9 ounce) package instant chocolate pudding mix",Chocolate Mousse Cake Iv,https://www.allrecipes.com/recipe/17539/chocolate-mousse-cake-iv/
2 cups heavy cream 1/2 cup confectioners' sugar 1/2 cup unsweetened cocoa powder 1 teaspoon vanilla extract 6 egg yolks 1/2 cup white sugar 1/3 cup unsweetened cocoa powder 1 1/2 teaspoons vanilla extract 1/8 teaspoon salt 6 egg whites 1/4 cup white sugar,Buche De Noel,https://www.allrecipes.com/recipe/17345/buche-de-noel/
"2 boneless pork loin chops, butterflied 4 ounces crumbled blue cheese 2 slices bacon - cooked and crumbled 2 tablespoons chopped fresh chives garlic salt to taste ground black pepper to taste",Blue Cheese Bacon And Chive Stuffed Pork Chops,https://www.allrecipes.com/recipe/81087/blue-cheese-bacon-and-chive-stuffed-pork-chops/
"8 skinless, boneless chicken breast halves 8 slices ham 8 slices Swiss cheese 1 (10.75 ounce) can condensed cream of chicken soup 1 cup sour cream 1/2 cup white wine 1 teaspoon garlic powder 1 teaspoon dried parsley 1 teaspoon salt 1 teaspoon ground black pepper",Different Chicken Cordon Bleu,https://www.allrecipes.com/recipe/17120/different-chicken-cordon-bleu/
"6 skinless, boneless chicken breast halves - pounded to 1/2 inch thickness 6 string cheese sticks 6 slices ham 1/2 cup butter, melted 1 cup seasoned dry bread crumbs",Easy Baked Chicken Cordon Bleu,https://www.allrecipes.com/recipe/83414/easy-baked-chicken-cordon-bleu/
"4 onions, chopped 3 tablespoons butter 3 tablespoons all-purpose flour 1 teaspoon ground black pepper 1 teaspoon white sugar 3 (10.5 ounce) cans beef broth 1 1/4 cups water 1/2 teaspoon dried parsley 1/4 teaspoon dried thyme 1 cup white wine 1 French baguette, cut into 1/2 inch slices",French Onion Soup V,https://www.allrecipes.com/recipe/16386/french-onion-soup-v/
"1/2 cup all-purpose flour 4 eggs, beaten 1 pound skinless, boneless chicken breast halves 1/2 cup white wine 2 cups chicken broth 1 teaspoon chopped fresh parsley salt and pepper to taste 1/4 cup butter 2 lemons, juiced",Delicious Easy Chicken Francese,https://www.allrecipes.com/recipe/16681/delicious-easy-chicken-francese/
